본문 구절,위치,추출,출처 유형,확인 URL·파일,조치,비고
◦ 역전시장길은 내접폭 2.54 m 조각과 5.82,서식2 문단 378,2.54 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv,유지,
◦ 역전시장길은 내접폭 2.54 m 조각과 5.82 m 조각을 함께 가진,서식2 문단 378,5.82 m,저장소 산출,deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv | data/vworld/national/derived/ngii_medial_width.json,유지,
한다. 폭으로 갈리는 것은 펌프차다 — 경형 1.9 m 이하 · 소형 2,서식2 문단 381,1.9 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
펌프차다 — 경형 1.9 m 이하 · 소형 2.2 m 이하 · 중·대형,서식2 문단 381,2.2 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
이하 · 소형 2.2 m 이하 · 중·대형 2.5 m 이하(KFS 00,서식2 문단 381,2.5 m,저장소 산출,deliverables/슬롯시간_26개소.csv | deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv,유지,
2.2 m 이하 · 중·대형 2.5 m 이하(KFS 0008 3.3). 물탱크,서식2 문단 381,KFS 0008,1차 원문,출처 일람 「기준 문서」 행,유지,
). 물탱크차·사다리차·굴절차·화학차는 모두 2.5 m 이하다,서식2 문단 381,2.5 m,저장소 산출,deliverables/슬롯시간_26개소.csv | deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv,유지,
지 못했다. 대신 도로명주소 도로구간 끝점을 2 m 안에서 이어 골목,서식2 문단 403,2 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
◦ 보행약자 축 — 기울기 1/18(별표 1) 대조 가능 2조,서식2 문단 405,별표 1,1차 원문,출처 일람 「기준 문서」 행,유지,
"조각은 충족이나, 계백로1158번길은 내접폭 6.71 m·기울기 1.44",서식2 문단 405,6.71 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv,유지,
기고도 계단이 6개다(단차 기준 2 cm). 37조각 중 계단이 있는,서식2 문단 405,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"3,838개에서 71개를 남긴 결과 · 대전 26개소",서식2 문단 408,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"·등고선은 조회되지만(실패 0, 등고선 간격 5 m) 표고점이 조각당",서식2 문단 412,5 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"0, 등고선 간격 5 m) 표고점이 조각당 1개 이하인 조각이 3",서식2 문단 412,1개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
표고점이 조각당 1개 이하인 조각이 32개라 37조각 중 2조각만 경사,서식2 문단 412,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
2개라 37조각 중 2조각만 경사값이 나왔다(0.04 %·1.44 %).,서식2 문단 412,0.04 %,저장소 산출,deliverables/도달률매트릭스_진입곤란26개소.md | data/vworld/national/derived/alley_census.json | data/vworld/national/derived/slope_26.json,유지,
각 중 2조각만 경사값이 나왔다(0.04 %·1.44 %). 없어서가 아니,서식2 문단 412,1.44 %,저장소 산출,deliverables/보행약자축_26개소.csv | deliverables/도달률매트릭스_진입곤란26개소.md | data/vworld/national/derived/sam_validation.json,유지,
- 등판능력 기준은 기본규격 KFS 0008-2019-01 4.4.1.1 「,서식2 문단 413,KFS 0008-2019-01,1차 원문,출처 일람 「기준 문서」 행,유지,
0008-2019-01 4.4.1.1 「구배 18 %」에 있다(차대 제,서식2 문단 413,18 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
"모두 기준 아래이며, 사전 커밋 산출 기록(37조각 UNKNOWN_F",서식2 문단 413,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
피 구간(내비 공급자 권한 미개통 · 실응답 0건) · 재난문자 ·,서식2 문단 416,0건,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
◦ 26개소 산출 요약 — 대,서식2 문단 418,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
상은 표준 도로망에 지정 도로명 링크가 없는 26개소(동구 5 · 중구,서식2 문단 418,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"· 대덕구 8), 조각 37개다. 전체 표는 26개소_산출표.csv",서식2 문단 418,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
※ 도표 3 대전 진입곤란 지정 26개소 좌표화 — 내접폭,서식2 문단 420,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
_FAIL_CLOSED 2 · 배제되지 않음 15개소,서식2 문단 420,15개소,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
20개소 산출 · 6개소는,서식2 문단 427,20개소,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
50 m 이내 15 · 1,서식2 문단 429,50 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
50 m 이내 15 · 100 m 이내 21 · 1,서식2 문단 429,15 · 100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/방범CCTV_26개소.csv | deliverables/도달률매트릭스_진입곤란26개소.md,유지,
50 m 이내 15 · 100 m 이내 21 · 100 m 초과 5(소방기본,서식2 문단 429,21 · 100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/방범CCTV_26개소.csv | deliverables/도달률매트릭스_진입곤란26개소.md,유지,
· 100 m 초과 5(소방기본법 시행규칙 별표3 수평거리 100,서식2 문단 429,별표3,1차 원문,출처 일람 「기준 문서」 행,유지,
초과 5(소방기본법 시행규칙 별표3 수평거리 100 m 대비·참고). 호,서식2 문단 429,100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/대중교통유입규모_26개소.csv | deliverables/방범CCTV_26개소.csv,유지,
20개소 배정 · 6개소,서식2 문단 431,20개소,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
20개소 배정 · 6개소 미배정 · 전부,서식2 문단 431,6개소,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
위성영상에 골목이 보이고 도로명주소 선형도 1개·5개 있는데 지정,서식2 문단 435,1개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
영상에 골목이 보이고 도로명주소 선형도 1개·5개 있는데 지정 도로,서식2 문단 435,5개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"있는데 지정 도로명 링크는 0이다. 내접폭 4.56·3.97 m, 용수 37.3·",서식2 문단 435,4.56·3.97 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv,유지,
"0이다. 내접폭 4.56·3.97 m, 용수 37.3·28.7 m, 접한 건물 44",서식2 문단 435,37.3·28.7 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/26개소_산출표.md | data/vworld/national/derived/site_table_26.json,유지,
산출물 2종,서식2 문단 436,2종,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"있는 개소 7 ② 전국 폭 속성 교차표 — 875,892구간 × road_bt",서식2 문단 437,"875,892구간",저장소 산출,deliverables/도달률매트릭스_진입곤란26개소.md | deliverables/산출물_명세.md | deliverables/이름은있는데쓸수없는속성.md,유지,
"남기는 것이며, 국내 선행연구도 도로중심선 9,974개 중 8,207개(",서식2 문단 437,"9,974개",1차 원문,출처 일람 문헌 J(본문 확인) 방윤식·가칠오·유기윤(2012),유지,선행연구 인용 수치
"국내 선행연구도 도로중심선 9,974개 중 8,207개(82.28 %)만",서식2 문단 437,"8,207개",1차 원문,출처 일람 문헌 J(본문 확인),유지,선행연구 인용 수치
"구도 도로중심선 9,974개 중 8,207개(82.28 %)만 대응을 찾았고",서식2 문단 437,82.28 %,1차 원문,출처 일람 문헌 J(본문 확인),유지,선행연구 인용 수치
"8,207개(82.28 %)만 대응을 찾았고[문헌J] 국제적으로도 별도",서식2 문단 437,[문헌J],1차 원문,출처 일람 J=1차 원문,유지,
적으로도 별도 표준(OpenLR)으로 다뤄진다[문헌K],서식2 문단 437,[문헌K],1차 원문,출처 일람 K=1차 원문,유지,
◦ 차종 배치 제언 — 최종채택 폭 1.9 m 미만 7조각은 규,서식2 문단 460,1.9 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
"격상 어떤 소방차도 진입을 인정할 수 없고, 1.9~2.2 m 3조각은 경형 펌",서식2 문단 460,1.9~2.2 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
우선순위 — 일반차량 독립 슬롯이 서지 않는 34조각(최종채택 5.7,서식2 문단 461,34조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
량 독립 슬롯이 서지 않는 34조각(최종채택 5.7 m 미만)을 폭이 좁,서식2 문단 461,5.7 m,저장소 산출,docs/판정기준.md | data/vworld/national/derived/access37_reverse.json | data/vworld/national/derived/ngii_bound_cover.json,유지,
◦ 법 근거 — 재난안전법 제74조의5(2025 신설)가,서식2 문단 462,제74조의5,1차 원문,출처 일람 「기준 문서」 행,유지,
"상황실 정보 공유 근거를 두었고, 소방본부는 제3조제7호 긴급구조기관",서식2 문단 462,제3조,1차 원문,출처 일람 「기준 문서」 행,유지,
무엇이 달라지는가 — 동구 진수길 일대(폭 1.35 m · 접한 건물 8,서식2 문단 470,1.35 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv,유지,
전 차종 배제 · 계족로 대기 · 용수 직선 86 m」가 먼저 뜬다.,서식2 문단 470,86 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/슬롯시간_26개소.csv | deliverables/용수도달성_26개소.csv,유지,
- 대전에서 행정이 진입곤란으로 지정한 26개 구간에 접한 건물,서식2 문단 472,26개,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
도 주민 수도 아니다. 인구는 국토정보플랫폼 100 m 격자로 붙일 수,서식2 문단 475,100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/대중교통유입규모_26개소.csv | deliverables/방범CCTV_26개소.csv,유지,
L2 · 폭 L3) · 판정 커버리지(폭 축 37조각) · 용수 도달성,서식2 문단 480,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
효과 — 도달률이 낮은 우선 조사 구간 수(26개소 37조각 중 BL,서식2 문단 481,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
도달률이 낮은 우선 조사 구간 수(26개소 37조각 중 BLOCKED,서식2 문단 481,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
소 37조각 중 BLOCKED·UNKNOWN 11조각),서식2 문단 481,11조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI보완_커버리지표.csv,유지,
1개 소방서 관할 진입,서식2 문단 491,1개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
길을 같은 입력으로 SAM 재실행하자 마스크 93개·차량 후보 5대가,서식2 문단 510,93개,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/연계테이블_도로명주소도로_표준노드링크_대전33개소.csv | deliverables/26개소_산출표.md,유지,
- 상용 지도·경로·비전·언어 모델 API 0건. SAM 은 Ap,서식2 문단 511,0건,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
ad_bt/2 의 0.8~1.2배로 흔들어도 37조각 중 32조각(86,서식2 문단 512,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
의 0.8~1.2배로 흔들어도 37조각 중 32조각(86.5 %) 이,서식2 문단 512,32조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
8~1.2배로 흔들어도 37조각 중 32조각(86.5 %) 이상의 폭 판정,서식2 문단 512,86.5 %,저장소 산출,data/vworld/national/derived/sensitivity.json,유지,
"판정이 바뀌지 않았고(가장 넓힌 1.2배에서 5조각 변동), 차량 규",서식2 문단 512,5조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"5조각 변동), 차량 규격 선험을 항목별 ±10 % 흔든 경우에도 8",서식2 문단 512,10 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
규격 선험을 항목별 ±10 % 흔든 경우에도 89.2 % 이상이 유지됐다(,서식2 문단 512,89.2 %,저장소 산출,data/vworld/national/derived/sensitivity.json,유지,
. 등판 기준값은 없는 것이 아니라 기본규격 KFS 0008-2019-01 4.4.1.1 에,서식2 문단 513,KFS 0008-2019-01,1차 원문,출처 일람 「기준 문서」 행,유지,
촬영 시점 추정」으로만 적었다. 사람 대조 9조각 중 대수 차이 4,서식2 문단 520,9조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
평면을 가정한다 → 경사가 큰 조각은 경사_26개소.csv 로 표시할,서식2 문단 520,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"코드(12) 때문이고, 링크ID 앞 3자리 251개 중 58개가 여러",서식2 문단 524,251개,저장소 산출,data/vworld/national/derived/hierarchy_compare_v2.json | data/vworld/national/derived/national_inclusion.json | data/vworld/national/derived/nodelink_prefix_sido.json,유지,
"기준(제작규격 전개너비·자동수평제어 경사각, SOP 209 전개 장애 항목)",서식2 문단 533,SOP 209,1차 원문,출처 일람 「기준 문서」 행,유지,
※ 호스 연장 거리 수치는 SOP 208 에 없어 용수 도,서식2 문단 534,SOP 208,1차 원문,출처 일람 「기준 문서」 행,유지,
수치는 SOP 208 에 없어 용수 도달성은 26개소 전부 UNKNOW,서식2 문단 534,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
에 포함되지 않습니다」 · 소방장비 기본규격 KFS 0008~0012·KFS-,서식2 문단 538,KFS 0008,1차 원문,출처 일람 「기준 문서」 행,유지,
소방장비 기본규격 KFS 0008~0012·KFS-1-0030(소방청) · 20,서식2 문단 538,KFS-1-0030,1차 원문,출처 일람 「기준 문서」 행,유지,
8~0012·KFS-1-0030(소방청) · 2025년 소방자동차 제작규,서식2 문단 538,2025년,저장소 산출,deliverables/도달률매트릭스_진입곤란26개소.md | docs/판정기준.md | docs/vworld/데이터수급_실사.md,유지,
전절차(2026.5) · 편의증진법 시행규칙 별표 1 · 도로의 구조·,서식2 문단 538,별표 1,1차 원문,출처 일람 「기준 문서」 행,유지,
1 · 도로의 구조·시설 기준에 관한 규칙 제5조 · 재난 및 안전,서식2 문단 538,제5조,1차 원문,출처 일람 「기준 문서」 행,유지,
한 규칙 제5조 · 재난 및 안전관리 기본법 제3조·제74조의5 ·,서식2 문단 538,제3조,1차 원문,출처 일람 「기준 문서」 행,유지,
제5조 · 재난 및 안전관리 기본법 제3조·제74조의5 · 데이터는 2장,서식2 문단 538,제74조의5,1차 원문,출처 일람 「기준 문서」 행,유지,
